Tema challenges,Challenges completados ,Challenge ID,Uncomleted,Challenge-Topic ,discussion-post,likes,Strikes por mes,MES
JS,120,55,100,JS,¿Cómo encontrar trabajo en tecnología?,54,120,ENERO
HTML,225,26,75,JS,20 datos sobre JS que no conocías,8,89,FEBRERO
CSS,290,13,23,JS,Backend vs Frontend,67,75,MARZO
React,126,15,5,HTML,Aprende a usar Flexbox,11,54,ABRIL
NodeJs,155,16,89,React,¿Cómo centrar un div?,93,64,MAYO
,,45,18,React,Aprende a crear una ordered list,75,44,JUNIO
,,54,46,HTML,,,33,JULIO
,,2,71,JS,,,22,AGOSTO
,,8,35,JS,,,18,SEPTIEMBRE
,,,,,,,5,OCTUBRE
,,,,,,,3,NOVIEMBRE
