id,genero
1,hombre
2,hombre
3,hombre
4,mujer
5,hombre
6,mujer
7,otro
8,mujer
9,otro
10,hombre
11,otro
12,mujer
13,hombre
14,otro
15,otro
16,otro
17,otro
18,otro
19,mujer
20,hombre
21,otro
22,otro
23,mujer
24,hombre
25,mujer
26,hombre
27,hombre
28,otro
29,otro
30,otro
31,otro
32,mujer
33,hombre
34,hombre
35,otro
36,otro
37,otro
38,mujer
39,hombre
40,mujer
41,mujer
42,mujer
43,otro
44,mujer
45,hombre
46,mujer
47,mujer
48,otro
49,mujer
50,mujer
51,hombre
52,hombre
53,otro
54,otro
55,hombre
56,hombre
57,hombre
58,mujer
59,mujer
60,hombre
61,hombre
62,otro
63,otro
64,otro
65,otro
66,otro
67,mujer
68,mujer
69,mujer
70,otro
71,mujer
72,hombre
73,otro
74,otro
75,otro
76,hombre
77,otro
78,otro
79,mujer
80,otro
81,otro
82,mujer
83,mujer
84,otro
85,mujer
86,hombre
87,hombre
88,mujer
89,otro
90,otro
91,otro
92,mujer
93,mujer
94,hombre
95,mujer
96,hombre
97,mujer
98,otro
99,otro
100,hombre
101,mujer
102,mujer
103,mujer
104,hombre
105,hombre
106,hombre
107,hombre
108,otro
109,hombre
110,mujer
111,otro
112,hombre
113,mujer
114,hombre
115,mujer
116,hombre
117,otro
118,mujer
119,hombre
120,hombre
121,otro
122,otro
123,hombre
124,hombre
125,otro
126,otro
127,otro
128,otro
129,hombre
130,hombre
131,otro
132,otro
133,otro
134,otro
135,mujer
136,otro
137,otro
138,hombre
139,otro
140,otro
141,otro
142,mujer
143,mujer
144,otro
145,otro
146,mujer
147,mujer
148,mujer
149,hombre
150,mujer
151,hombre
152,otro
153,otro
154,hombre
155,mujer
156,otro
157,otro
158,otro
159,otro
160,mujer
161,mujer
162,mujer
163,hombre
164,hombre
165,otro
166,mujer
167,mujer
168,mujer
169,hombre
170,mujer
171,otro
172,otro
173,otro
174,hombre
175,otro
176,mujer
177,hombre
178,hombre
179,mujer
180,otro
181,mujer
182,mujer
183,otro
184,mujer
185,hombre
186,hombre
187,hombre
188,otro
189,mujer
190,otro
191,otro
192,otro
193,mujer
194,otro
195,otro
196,otro
197,hombre
198,hombre
199,otro
200,hombre
201,mujer
202,otro
203,otro
204,hombre
205,mujer
206,otro
207,hombre
208,otro
209,mujer
210,hombre
211,mujer
212,hombre
213,otro
214,otro
215,hombre
216,hombre
217,hombre
218,otro
219,otro
220,otro
221,otro
222,hombre
223,hombre
224,otro
225,otro
226,otro
227,mujer
228,otro
229,hombre
230,otro
231,hombre
232,hombre
233,hombre
234,hombre
235,otro
236,hombre
237,otro
238,hombre
239,otro
240,hombre
241,hombre
242,mujer
243,mujer
244,otro
245,otro
246,hombre
247,hombre
248,mujer
249,hombre
250,otro
251,mujer
252,hombre
253,otro
254,mujer
255,mujer
256,mujer
257,otro
258,hombre
259,hombre
260,otro
261,hombre
262,hombre
263,mujer
264,otro
265,hombre
266,mujer
267,mujer
268,otro
269,hombre
270,mujer
271,hombre
272,hombre
273,hombre
274,mujer
275,otro
276,otro
277,mujer
278,otro
279,hombre
280,otro
281,mujer
282,mujer
283,mujer
284,otro
285,otro
286,otro
287,hombre
288,hombre
289,otro
290,mujer
291,otro
292,otro
293,mujer
294,mujer
295,hombre
296,otro
297,hombre
298,otro
299,otro
300,mujer
301,mujer
302,mujer
303,mujer
304,hombre
305,mujer
306,mujer
307,otro
308,mujer
309,otro
310,hombre
311,mujer
312,otro
313,otro
314,mujer
315,mujer
316,mujer
317,otro
318,otro
319,mujer
320,hombre
321,mujer
322,otro
323,otro
324,hombre
325,mujer
326,mujer
327,otro
328,hombre
329,hombre
330,mujer
331,hombre
332,mujer
333,mujer
334,hombre
335,hombre
336,hombre
337,otro
338,mujer
339,mujer
340,hombre
341,hombre
342,otro
343,hombre
344,otro
345,mujer
346,otro
347,otro
348,hombre
349,otro
350,hombre
351,hombre
352,otro
353,otro
354,mujer
355,otro
356,otro
357,mujer
358,mujer
359,hombre
360,hombre
361,mujer
362,otro
363,mujer
364,otro
365,otro
366,otro
367,otro
368,hombre
369,otro
370,otro
371,mujer
372,mujer
373,hombre
374,mujer
375,otro
376,hombre
377,otro
378,hombre
379,otro
380,hombre
381,mujer
382,hombre
383,mujer
384,hombre
385,mujer
386,hombre
387,otro
388,otro
389,otro
390,mujer
391,mujer
392,hombre
393,mujer
394,hombre
395,otro
396,mujer
397,mujer
398,otro
399,otro
400,hombre
401,mujer
402,mujer
403,mujer
404,otro
405,mujer
406,mujer
407,otro
408,otro
409,otro
410,otro
411,hombre
412,mujer
413,otro
414,hombre
415,mujer
416,otro
417,otro
418,otro
419,otro
420,hombre
421,mujer
422,mujer
423,hombre
424,mujer
425,otro
426,otro
427,hombre
428,mujer
429,hombre
430,mujer
431,otro
432,otro
433,mujer
434,mujer
435,otro
436,mujer
437,hombre
438,otro
439,mujer
440,otro
441,otro
442,hombre
443,otro
444,otro
445,hombre
446,otro
447,mujer
448,mujer
449,hombre
450,hombre
451,hombre
452,mujer
453,hombre
454,hombre
455,mujer
456,mujer
457,mujer
458,mujer
459,hombre
460,otro
461,hombre
462,mujer
463,hombre
464,hombre
465,mujer
466,mujer
467,otro
468,otro
469,hombre
470,hombre
471,otro
472,otro
473,otro
474,hombre
475,otro
476,hombre
477,hombre
478,otro
479,hombre
480,hombre
481,hombre
482,mujer
483,hombre
484,hombre
485,otro
486,otro
487,otro
488,otro
489,otro
490,mujer
491,mujer
492,mujer
493,hombre
494,hombre
495,hombre
496,mujer
497,hombre
498,hombre
499,otro
500,mujer
501,otro
502,hombre
503,mujer
504,hombre
505,hombre
506,otro
507,mujer
508,hombre
509,hombre
510,hombre
511,otro
512,otro
513,mujer
514,otro
515,otro
516,hombre
517,mujer
518,hombre
519,mujer
520,mujer
521,otro
522,hombre
523,otro
524,otro
525,hombre
526,hombre
527,otro
528,mujer
529,otro
530,hombre
531,hombre
532,otro
533,hombre
534,hombre
535,mujer
536,mujer
537,hombre
538,otro
539,mujer
540,mujer
541,hombre
542,otro
543,otro
544,mujer
545,hombre
546,mujer
547,hombre
548,hombre
549,otro
550,hombre
551,hombre
552,otro
553,otro
554,hombre
555,otro
556,mujer
557,otro
558,hombre
559,hombre
560,otro
561,mujer
562,mujer
563,otro
564,hombre
565,hombre
566,mujer
567,mujer
568,hombre
569,otro
570,mujer
571,mujer
572,hombre
573,mujer
574,hombre
575,otro
576,otro
577,hombre
578,hombre
579,otro
580,mujer
581,mujer
582,hombre
583,otro
584,hombre
585,otro
586,mujer
587,mujer
588,otro
589,mujer
590,mujer
591,mujer
592,otro
593,hombre
594,mujer
595,hombre
596,otro
597,mujer
598,otro
599,hombre
600,hombre
601,mujer
602,mujer
603,otro
604,hombre
605,mujer
606,hombre
607,mujer
608,mujer
609,mujer
610,mujer
611,otro
612,otro
613,hombre
614,otro
615,hombre
616,mujer
